Date,Product,Category,Quantity,Price
2026-01-05,Laptop,Electronics,2,50000
2026-01-12,Phone,Electronics,3,30000
2026-01-20,Mouse,Accessories,10,800
2026-01-28,Keyboard,Accessories,5,1500
2026-02-03,Laptop,Electronics,3,50000
2026-02-10,Phone,Electronics,4,30000
2026-02-18,Mouse,Accessories,12,800
2026-02-25,Headphones,Accessories,6,2000
2026-03-04,Laptop,Electronics,4,50000
2026-03-11,Phone,Electronics,5,30000
2026-03-19,Keyboard,Accessories,8,1500
2026-03-27,Headphones,Accessories,10,2000
2026-04-05,Laptop,Electronics,5,50000
2026-04-12,Phone,Electronics,6,30000
2026-04-20,Mouse,Accessories,15,800
2026-04-28,Headphones,Accessories,12,2000
2026-05-06,Laptop,Electronics,6,50000
2026-05-14,Phone,Electronics,7,30000
2026-05-21,Keyboard,Accessories,10,1500
2026-05-29,Headphones,Accessories,14,2000
2026-06-04,Laptop,Electronics,7,50000
2026-06-12,Phone,Electronics,8,30000
2026-06-20,Mouse,Accessories,18,800
2026-06-27,Headphones,Accessories,16,2000
